Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","2017-18 
CALPADS Fall 1 
Certification Status"
2017-2018,01,61176,0134270,Alameda,Fremont Unified,Irvington High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2360,305,0.129237288,358,0.151694915,2338,301,0.128742515,354,0.151411463,Y
2017-2018,01,61176,0134452,Alameda,Fremont Unified,John F. Kennedy High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1379,408,0.29586657,527,0.382160986,1332,394,0.295795796,510,0.382882883,Y
2017-2018,01,61176,0135244,Alameda,Fremont Unified,Mission San Jose High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2014,110,0.054617676,118,0.058589871,1995,107,0.053634085,114,0.057142857,Y
2017-2018,01,61176,0138693,Alameda,Fremont Unified,Washington High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1940,432,0.222680412,519,0.267525773,1887,416,0.22045575,500,0.264970853,Y
2017-2018,01,61192,0108670,Alameda,Hayward Unified,Leadership Public Schools - Hayward,Unified School District,High Schools (Public),Traditional,N/A,Yes,0684,Directly funded,Y,9,12,593,254,0.428330523,364,0.613827993,585,252,0.430769231,359,0.613675214,Y
2017-2018,01,61192,0127944,Alameda,Hayward Unified,Silver Oak High Public Montessori Charter,Unified School District,High Schools (Public),Traditional,N/A,Yes,1543,Directly funded,Y,9,12,198,106,0.535353535,116,0.585858586,192,104,0.541666667,114,0.59375,Y
2017-2018,01,61192,0133009,Alameda,Hayward Unified,Brenkwitz High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,187,134,0.71657754,147,0.786096257,140,100,0.714285714,112,0.8,Y
2017-2018,01,61192,0133629,Alameda,Hayward Unified,Hayward High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1607,980,0.609831985,1141,0.710018668,1564,952,0.608695652,1109,0.709079284,Y
2017-2018,01,61192,0135319,Alameda,Hayward Unified,Mt. Eden High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1978,1080,0.546006067,1294,0.654196158,1930,1053,0.545595855,1263,0.654404145,Y
2017-2018,01,61192,0138339,Alameda,Hayward Unified,Tennyson High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1446,977,0.675656985,1088,0.75242047,1360,910,0.669117647,1016,0.747058824,Y
2017-2018,01,61200,0133397,Alameda,Livermore Valley Joint Unified,Granada High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2261,404,0.178681999,435,0.192392747,2182,382,0.175068744,413,0.189275894,Y
2017-2018,01,61200,0134536,Alameda,Livermore Valley Joint Unified,Livermore High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1936,407,0.210227273,450,0.232438017,1871,384,0.205237841,426,0.22768573,Y
2017-2018,01,61234,0130054,Alameda,Newark Unified,Newark Memorial High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1789,673,0.376187814,802,0.448295137,1742,650,0.373134328,777,0.446039036,Y
2017-2018,01,61234,0135426,Alameda,Newark Unified,Bridgepoint High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,62,39,0.629032258,40,0.64516129,48,33,0.6875,34,0.708333333,Y
2017-2018,01,61242,0110460,Alameda,New Haven Unified,Core Learning Academy at Conley-Caraballo High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,154,69,0.448051948,79,0.512987013,125,55,0.44,62,0.496,Y
2017-2018,01,61242,0110478,Alameda,New Haven Unified,Alternative Learning Academy at Conley-Caraballo High,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,9,12,11,6,0.545454545,7,0.636363636,7,5,0.714285714,5,0.714285714,Y
2017-2018,01,61242,0134668,Alameda,New Haven Unified,James Logan High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,3735,1360,0.364123159,1734,0.464257028,3628,1308,0.360529217,1673,0.461135612,Y
2017-2018,01,61259,0100065,Alameda,Oakland Unified,Oakland Unity High,Unified School District,High Schools (Public),Traditional,N/A,Yes,0510,Directly funded,Y,9,12,346,257,0.742774566,295,0.852601156,339,250,0.737463127,288,0.849557522,Y
2017-2018,01,61259,0100701,Alameda,Oakland Unified,MetWest High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,174,120,0.689655172,132,0.75862069,169,115,0.680473373,127,0.75147929,Y
2017-2018,01,61259,0106542,Alameda,Oakland Unified,Community Day High,Unified School District,District Community Day Schools,Community Day School,CEP,No ,N/A,N/A,N,9,12,22,19,0.863636364,20,0.909090909,20,17,0.85,18,0.9,Y
2017-2018,01,61259,0108944,Alameda,Oakland Unified,Lighthouse Community Charter High,Unified School District,High Schools (Public),Traditional,N/A,Yes,0700,Directly funded,Y,9,12,260,180,0.692307692,213,0.819230769,234,166,0.709401709,196,0.837606838,Y
2017-2018,01,61259,0110189,Alameda,Oakland Unified,McClymonds High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,401,339,0.845386534,354,0.882793017,385,325,0.844155844,340,0.883116883,Y
2017-2018,01,61259,0111856,Alameda,Oakland Unified,American Indian Public High,Unified School District,High Schools (Public),Traditional,N/A,Yes,0765,Directly funded,Y,9,12,360,212,0.588888889,244,0.677777778,338,198,0.585798817,227,0.671597633,Y
2017-2018,01,61259,0114868,Alameda,Oakland Unified,Oakland Charter High,Unified School District,High Schools (Public),Traditional,N/A,Yes,0883,Directly funded,Y,9,12,412,197,0.47815534,197,0.47815534,378,180,0.476190476,180,0.476190476,Y
2017-2018,01,61259,0115238,Alameda,Oakland Unified,ARISE High,Unified School District,High Schools (Public),Traditional,N/A,Yes,0837,Directly funded,Y,9,12,288,227,0.788194444,246,0.854166667,279,218,0.781362007,237,0.849462366,Y
2017-2018,01,61259,0115386,Alameda,Oakland Unified,Civicorps Corpsmember Academy,Unified School District,High Schools (Public),Traditional,N/A,Yes,0948,Directly funded,Y,9,Adult,71,71,1,71,1,2,2,1,2,1,Y
2017-2018,01,61259,0115667,Alameda,Oakland Unified,Oakland International High,Unified School District,Alternative Schools of Choice,Alternative School of Choice,CEP,No ,N/A,N/A,N,9,12,367,334,0.910081744,353,0.961852861,247,221,0.894736842,236,0.955465587,Y
2017-2018,01,61259,0118653,Alameda,Oakland Unified,Ralph J. Bunche High,Unified School District,Continuation High Schools,Continuation School,CEP,No ,N/A,N/A,N,9,12,100,86,0.86,87,0.87,63,56,0.888888889,57,0.904761905,Y
2017-2018,01,61259,0119859,Alameda,Oakland Unified,Gateway to College at Laney College,Unified School District,Alternative Schools of Choice,Alternative School of Choice,CEP,No ,N/A,N/A,N,9,12,90,42,0.466666667,43,0.477777778,25,14,0.56,14,0.56,Y
2017-2018,01,61259,0125161,Alameda,Oakland Unified,Castlemont High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,858,763,0.889277389,789,0.91958042,785,698,0.889171975,723,0.921019108,Y
2017-2018,01,61259,0125716,Alameda,Oakland Unified,Fremont High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,827,760,0.918984281,781,0.944377267,726,666,0.917355372,686,0.944903581,Y
2017-2018,01,61259,0126748,Alameda,Oakland Unified,LPS Oakland R & D Campus,Unified School District,High Schools (Public),Traditional,Provision 2,Yes,1449,Directly funded,Y,9,12,417,334,0.800959233,385,0.923261391,399,318,0.796992481,368,0.922305764,Y
2017-2018,01,61259,0130146,Alameda,Oakland Unified,Rudsdale Continuation,Unified School District,Continuation High Schools,Continuation School,CEP,No ,N/A,N/A,N,9,12,187,145,0.77540107,149,0.796791444,92,77,0.836956522,79,0.858695652,Y
2017-2018,01,61259,0130179,Alameda,Oakland Unified,Street Academy (Alternative),Unified School District,Alternative Schools of Choice,Alternative School of Choice,CEP,No ,N/A,N/A,N,9,12,108,90,0.833333333,94,0.87037037,102,86,0.843137255,90,0.882352941,Y
2017-2018,01,61259,0132555,Alameda,Oakland Unified,Conservatory of Vocal/Instrumental Arts High,Unified School District,High Schools (Public),Traditional,N/A,Yes,1745,Directly funded,Y,9,12,72,31,0.430555556,39,0.541666667,68,31,0.455882353,39,0.573529412,Y
2017-2018,01,61259,0132688,Alameda,Oakland Unified,Dewey Academy,Unified School District,Continuation High Schools,Continuation School,CEP,No ,N/A,N/A,N,9,12,240,204,0.85,214,0.891666667,123,106,0.861788618,113,0.918699187,Y
2017-2018,01,61259,0135905,Alameda,Oakland Unified,Oakland High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,1568,1263,0.805484694,1369,0.873086735,1462,1173,0.802325581,1274,0.871409029,Y
2017-2018,01,61259,0136051,Alameda,Oakland Unified,Oakland Technical High,Unified School District,High Schools (Public),Traditional,Breakfast Provision 2,No ,N/A,N/A,N,9,12,1998,848,0.424424424,970,0.485485485,1960,828,0.42244898,949,0.484183673,Y
2017-2018,01,61259,0137943,Alameda,Oakland Unified,Skyline High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,1756,1186,0.675398633,1302,0.741457859,1697,1142,0.672952269,1253,0.738361815,Y
2017-2018,01,61275,0130286,Alameda,Piedmont City Unified,Millennium High Alternative,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,60,10,0.166666667,10,0.166666667,52,7,0.134615385,7,0.134615385,Y
2017-2018,01,61275,0136515,Alameda,Piedmont City Unified,Piedmont High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,813,11,0.013530135,11,0.013530135,792,9,0.011363636,9,0.011363636,Y
2017-2018,01,61291,0134528,Alameda,San Leandro Unified,Lincoln High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,155,95,0.612903226,106,0.683870968,142,87,0.612676056,98,0.690140845,Y
2017-2018,01,61291,0137588,Alameda,San Leandro Unified,San Leandro High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2657,1300,0.489273617,1599,0.601806549,2563,1250,0.487709715,1541,0.601248537,Y
2017-2018,01,61309,0111799,Alameda,San Lorenzo Unified,East Bay Arts High,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,9,12,220,137,0.622727273,145,0.659090909,215,133,0.618604651,141,0.655813953,Y
2017-2018,01,61309,0114421,Alameda,San Lorenzo Unified,KIPP King Collegiate High,Unified School District,High Schools (Public),Traditional,N/A,Yes,0880,Directly funded,Y,9,12,618,279,0.451456311,404,0.653721683,606,271,0.447194719,394,0.650165017,Y
2017-2018,01,61309,0130849,Alameda,San Lorenzo Unified,Arroyo High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1830,731,0.399453552,933,0.509836066,1778,703,0.395388076,904,0.508436445,Y
2017-2018,01,61309,0137810,Alameda,San Lorenzo Unified,San Lorenzo High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1412,863,0.611189802,962,0.681303116,1346,817,0.606983655,914,0.679049034,Y
2017-2018,01,75093,0132704,Alameda,Dublin Unified,Dublin High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2750,302,0.109818182,335,0.121818182,2705,293,0.10831793,325,0.120147874,Y
2017-2018,01,75093,0138453,Alameda,Dublin Unified,Valley High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,56,25,0.446428571,28,0.5,49,24,0.489795918,26,0.530612245,Y
2017-2018,01,75101,0130096,Alameda,Pleasanton Unified,Foothill High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2176,151,0.069393382,193,0.088694853,2138,147,0.068755847,188,0.087932647,Y
2017-2018,01,75101,0130252,Alameda,Pleasanton Unified,Village High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,109,28,0.256880734,29,0.266055046,75,22,0.293333333,23,0.306666667,Y
2017-2018,01,75101,0130583,Alameda,Pleasanton Unified,Amador Valley High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2673,145,0.054246165,177,0.066217733,2614,141,0.053940321,171,0.065416985,Y
2017-2018,03,73981,0330019,Amador,Amador County Unified,Independence High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,44,36,0.818181818,37,0.840909091,36,28,0.777777778,29,0.805555556,Y
2017-2018,03,73981,0330753,Amador,Amador County Unified,Amador High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,724,258,0.356353591,298,0.41160221,701,249,0.355206847,287,0.409415121,Y
2017-2018,03,73981,0334755,Amador,Amador County Unified,Argonaut High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,475,171,0.36,188,0.395789474,457,164,0.358862144,180,0.393873085,Y
2017-2018,04,61408,0430827,Butte,Biggs Unified,Biggs High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,218,121,0.555045872,126,0.577981651,213,117,0.549295775,122,0.572769953,Y
2017-2018,04,61424,0120394,Butte,Chico Unified,Inspire School of Arts and Sciences,Unified School District,High Schools (Public),Traditional,N/A,Yes,1114,Locally funded,N,9,12,454,174,0.383259912,186,0.40969163,447,171,0.382550336,183,0.409395973,Y
2017-2018,04,61424,0431502,Butte,Chico Unified,Fair View High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,145,114,0.786206897,118,0.813793103,130,100,0.769230769,104,0.8,Y
2017-2018,04,61424,0431676,Butte,Chico Unified,Chico High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1811,667,0.368304804,736,0.406405301,1742,646,0.370838117,715,0.410447761,Y
2017-2018,04,61424,0437558,Butte,Chico Unified,Pleasant Valley High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1966,669,0.340284842,738,0.375381485,1902,647,0.340168244,713,0.374868559,Y
2017-2018,04,61432,0433201,Butte,Durham Unified,Durham High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,286,80,0.27972028,98,0.342657343,279,79,0.283154122,97,0.347670251,Y
2017-2018,04,61515,0430140,Butte,Oroville Union High,Oroville High Community Day,High School District,District Community Day Schools,Community Day School,N/A,No ,N/A,N/A,N,9,12,38,34,0.894736842,34,0.894736842,38,34,0.894736842,34,0.894736842,Y
2017-2018,04,61515,0434803,Butte,Oroville Union High,Las Plumas High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1075,679,0.631627907,771,0.717209302,1046,661,0.631931166,752,0.718929254,Y
2017-2018,04,61515,0435602,Butte,Oroville Union High,Oroville High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,962,683,0.70997921,761,0.791060291,915,650,0.710382514,725,0.792349727,Y
2017-2018,04,61515,0437566,Butte,Oroville Union High,Prospect High (Continuation),High School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,118,100,0.847457627,109,0.923728814,108,91,0.842592593,100,0.925925926,Y
2017-2018,04,61531,0121715,Butte,Paradise Unified,Paradise eLearning Academy,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,57,29,0.50877193,32,0.561403509,56,28,0.5,31,0.553571429,Y
2017-2018,04,61531,0432856,Butte,Paradise Unified,Ridgeview High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,95,74,0.778947368,77,0.810526316,86,66,0.76744186,68,0.790697674,Y
2017-2018,04,61531,0437350,Butte,Paradise Unified,Paradise Senior High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,995,504,0.506532663,548,0.550753769,959,488,0.508863399,529,0.551616267,Y
2017-2018,04,75507,0433946,Butte,Gridley Unified,Esperanza High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,35,20,0.571428571,22,0.628571429,28,17,0.607142857,19,0.678571429,Y
2017-2018,04,75507,0433953,Butte,Gridley Unified,Gridley High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,637,391,0.613814757,419,0.657770801,623,382,0.613162119,410,0.658105939,Y
2017-2018,05,61556,0530014,Calaveras,Bret Harte Union High,Vallecito Continuation High,High School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,23,14,0.608695652,14,0.608695652,19,13,0.684210526,13,0.684210526,Y
2017-2018,05,61556,0530121,Calaveras,Bret Harte Union High,John Vierra High,High School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,9,12,17,5,0.294117647,6,0.352941176,16,4,0.25,5,0.3125,Y
2017-2018,05,61556,0532507,Calaveras,Bret Harte Union High,Bret Harte Union High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,646,226,0.349845201,264,0.408668731,627,219,0.349282297,257,0.409888357,Y
2017-2018,05,61564,0530022,Calaveras,Calaveras Unified,Gold Strike High,Unified School District,Continuation High Schools,Continuation School,CEP,No ,N/A,N/A,N,9,12,46,34,0.739130435,34,0.739130435,46,34,0.739130435,34,0.739130435,Y
2017-2018,05,61564,0531509,Calaveras,Calaveras Unified,Calaveras High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,837,343,0.409796894,399,0.476702509,798,330,0.413533835,384,0.481203008,Y
2017-2018,06,61598,0630012,Colusa,Colusa Unified,Colusa Alternative High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,16,14,0.875,14,0.875,15,13,0.866666667,13,0.866666667,Y
2017-2018,06,61598,0631259,Colusa,Colusa Unified,Colusa High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,400,207,0.5175,246,0.615,393,203,0.51653944,241,0.613231552,Y
2017-2018,06,61606,0634758,Colusa,Maxwell Unified,Maxwell Sr High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,101,54,0.534653465,68,0.673267327,95,51,0.536842105,65,0.684210526,Y
2017-2018,06,61614,0630087,Colusa,Pierce Joint Unified,Arbuckle Alternative High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,10,8,0.8,9,0.9,9,7,0.777777778,8,0.888888889,Y
2017-2018,06,61614,0635250,Colusa,Pierce Joint Unified,Pierce High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,436,206,0.472477064,273,0.626146789,426,199,0.46713615,265,0.622065728,Y
2017-2018,07,10074,0731380,Contra Costa,Contra Costa County Office of Education,Clayton Valley Charter High,County Office of Education (COE),High Schools (Public),Traditional,N/A,Yes,1400,Directly funded,Y,9,12,2187,384,0.17558299,483,0.22085048,2147,371,0.172799255,469,0.218444341,Y
2017-2018,07,61630,0107524,Contra Costa,Acalanes Union High,Acalanes Center for Independent Study,High School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,9,12,24,2,0.083333333,2,0.083333333,18,2,0.111111111,2,0.111111111,Y
2017-2018,07,61630,0730283,Contra Costa,Acalanes Union High,Acalanes High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1377,66,0.047930283,70,0.050835149,1317,62,0.047076689,65,0.049354594,Y
2017-2018,07,61630,0731125,Contra Costa,Acalanes Union High,Campolindo High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1376,50,0.036337209,54,0.039244186,1333,49,0.03675919,53,0.03975994,Y
2017-2018,07,61630,0733725,Contra Costa,Acalanes Union High,Las Lomas High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1549,186,0.120077469,198,0.127824403,1504,175,0.116356383,187,0.124335106,Y
2017-2018,07,61630,0734244,Contra Costa,Acalanes Union High,Miramonte High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1316,54,0.041033435,56,0.042553191,1285,54,0.042023346,56,0.043579767,Y
2017-2018,07,61648,0117218,Contra Costa,Antioch Unified,Dozier-Libbey Medical High,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,9,12,706,311,0.440509915,369,0.52266289,694,303,0.436599424,360,0.518731988,Y
2017-2018,07,61648,0730465,Contra Costa,Antioch Unified,Deer Valley High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2135,1013,0.474473068,1163,0.544730679,2042,963,0.471596474,1105,0.541136141,Y
2017-2018,07,61648,0730861,Contra Costa,Antioch Unified,Antioch High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1983,1217,0.613716591,1348,0.679778114,1932,1187,0.614389234,1315,0.680641822,Y
2017-2018,07,61697,0737023,Contra Costa,John Swett Unified,John Swett High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,527,270,0.512333966,300,0.569259962,507,261,0.514792899,290,0.57199211,Y
2017-2018,07,61721,0107797,Contra Costa,Liberty Union High,Heritage High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2573,416,0.161678974,460,0.178779635,2527,408,0.161456272,452,0.178868223,Y
2017-2018,07,61721,0730457,Contra Costa,Liberty Union High,Freedom High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2600,895,0.344230769,1013,0.389615385,2540,874,0.344094488,990,0.38976378,Y
2017-2018,07,61721,0730572,Contra Costa,Liberty Union High,Independence High,High School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,9,12,252,71,0.281746032,71,0.281746032,199,57,0.286432161,57,0.286432161,Y
2017-2018,07,61721,0733980,Contra Costa,Liberty Union High,Liberty High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2604,713,0.273809524,789,0.302995392,2493,662,0.265543522,736,0.295226635,Y
2017-2018,07,61721,0733998,Contra Costa,Liberty Union High,La Paloma High (Continuation),High School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,176,88,0.5,99,0.5625,133,69,0.518796992,77,0.578947368,Y
2017-2018,07,61739,0730440,Contra Costa,Martinez Unified,Vicente Martinez High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,74,39,0.527027027,41,0.554054054,65,33,0.507692308,35,0.538461538,Y
2017-2018,07,61739,0730549,Contra Costa,Martinez Unified,Alhambra Senior High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1185,261,0.220253165,275,0.232067511,1148,252,0.219512195,266,0.231707317,Y
